cluster,n_nodes,n_edges,internal_density,coeff_variation,fraud_score,is_fraud_ring,total_volume
12,8,28,1.0,0.018041410254523636,0.994683,True,26493.559999999994
2,6,15,1.0,0.014529758029476337,0.867658,True,7148.79
7,10,1,0.022222222222222223,0.0,0.311731,False,102.64
9,19,1,0.005847953216374269,0.0,0.303382,False,144.05
10,322,1230,0.023799849074127823,1.4542277874439908,0.178693,False,237561.9499999998
0,49,24,0.02040816326530612,0.9624156936898911,0.166727,False,2961.85
4,88,84,0.0219435736677116,1.404629009630077,0.14219,False,9412.01
1,1,0,0.0,999.0,0.0003,False,0.0
13,1,0,0.0,999.0,0.0003,False,0.0
6,1,0,0.0,999.0,0.0003,False,0.0
3,1,0,0.0,999.0,0.0003,False,0.0
5,1,0,0.0,999.0,0.0003,False,0.0
8,2,0,0.0,999.0,0.0003,False,0.0
11,1,0,0.0,999.0,0.0003,False,0.0
14,4,0,0.0,999.0,0.0003,False,0.0
