cluster,n_nodes,n_edges,internal_density,coeff_variation,fraud_score,is_fraud_ring,total_volume
113,1023,609,0.0011649861406821194,0.0,0.500582,True,609.0
36,2646,1322,0.0003777860650666484,0.0,0.468042,True,1322.0
23,5369,1814,0.00012588134288606643,0.0,0.413572,True,1814.0
78,4055,1326,0.00016132397589386683,0.0,0.409941,True,1326.0
11,556,177,0.0011471903558234495,0.0,0.407525,True,177.0
6,2390,556,0.00019475595082762523,0.0,0.378254,False,556.0
86,4432,1007,0.00010255526578006774,0.0,0.376385,False,1007.0
116,592,99,0.000565921251200439,0.0,0.356466,False,99.0
74,635,99,0.0004918154946719988,0.0,0.352624,False,99.0
115,2307,354,0.00013308415768442588,0.0,0.351618,False,354.0
63,2241,265,0.0001055810543762351,0.0,0.33978,False,265.0
175,525,52,0.0003780443475099964,0.0,0.333465,False,52.0
35,3449,321,5.3985182833182756e-05,0.0,0.331295,False,321.0
76,3408,307,5.288063376836698e-05,0.0,0.33029,False,307.0
183,3819,333,4.567606125859358e-05,0.0,0.329317,False,333.0
174,2746,239,6.341398052739737e-05,0.0,0.329272,False,239.0
159,824,69,0.0002034942018898418,0.0,0.328234,False,69.0
177,300,24,0.0005351170568561873,0.0,0.327144,False,24.0
34,612,48,0.0002567311703732229,0.0,0.326478,False,48.0
27,3008,227,5.019316629991014e-05,0.0,0.325379,False,227.0
194,741,55,0.0002006054637633585,0.0,0.325037,False,55.0
94,1297,96,0.00011422370713041491,0.0,0.324924,False,96.0
122,2943,193,4.4581468938612244e-05,0.0,0.322054,False,193.0
43,3040,199,4.308030688765349e-05,0.0,0.322014,False,199.0
99,1849,120,7.023803670639799e-05,0.0,0.321839,False,120.0
132,2290,148,5.6469044089732364e-05,0.0,0.321741,False,148.0
0,3520,218,3.5198532640987886e-05,0.0,0.320824,False,218.0
145,3328,201,3.6306964000832354e-05,0.0,0.320309,False,201.0
156,1876,111,6.311300639658849e-05,0.0,0.31991,False,111.0
148,4009,237,2.9499494401070644e-05,0.0,0.319876,False,237.0
24,2987,175,3.924126674396823e-05,0.0,0.319703,False,175.0
158,1739,99,6.551124245710834e-05,0.0,0.319159,False,99.0
67,2202,120,4.9519230174047714e-05,0.0,0.318333,False,120.0
47,2035,110,5.3150495628371736e-05,0.0,0.318187,False,110.0
164,209,11,0.0005060728744939271,0.0,0.317935,False,11.0
102,2900,154,3.6635700776724434e-05,0.0,0.317859,False,154.0
75,1510,78,6.846339183442391e-05,0.0,0.317388,False,78.0
73,2580,125,3.757240201869002e-05,0.0,0.316296,False,125.0
121,1402,65,6.618463885079029e-05,0.0,0.315609,False,65.0
30,2222,103,4.174213008874053e-05,0.0,0.315594,False,103.0
57,1735,79,5.251804061173546e-05,0.0,0.315324,False,79.0
95,1988,87,4.404889325889914e-05,0.0,0.314725,False,87.0
106,3016,129,2.8372725233250196e-05,0.0,0.314384,False,129.0
7,3503,148,2.412878379680434e-05,0.0,0.314206,False,148.0
199,2072,83,3.868461135481899e-05,0.0,0.313477,False,83.0
114,1498,59,5.261970313568838e-05,0.0,0.313258,False,59.0
150,2852,111,2.7302740162035612e-05,0.0,0.313089,False,111.0
38,2167,82,3.494028832555486e-05,0.0,0.31273,False,82.0
9,1802,68,4.190544037379653e-05,0.0,0.312699,False,68.0
48,2491,94,3.0309918920966887e-05,0.0,0.312693,False,94.0
167,1948,72,3.796711415129262e-05,0.0,0.312436,False,72.0
139,1330,47,5.3180354950581875e-05,0.0,0.311899,False,47.0
83,1796,63,3.9084067969055345e-05,0.0,0.311804,False,63.0
149,1857,65,3.771841865819917e-05,0.0,0.311778,False,65.0
131,2362,78,2.7973623025304295e-05,0.0,0.311108,False,78.0
138,216,7,0.00030146425495262703,0.0,0.311038,False,7.0
8,2017,66,3.2462166820124184e-05,0.0,0.311009,False,66.0
68,2616,85,2.4850749323182534e-05,0.0,0.310929,False,85.0
193,2707,87,2.3753805728271206e-05,0.0,0.310809,False,87.0
147,415,13,0.00015132995751120424,0.0,0.3106,False,13.0
64,552,17,0.00011178621215707936,0.0,0.310403,False,17.0
15,904,26,6.370113388018307e-05,0.0,0.309694,False,26.0
107,2717,78,2.114001028813834e-05,0.0,0.309655,False,78.0
109,771,21,7.074637424831977e-05,0.0,0.309186,False,21.0
18,1131,30,4.694725475927795e-05,0.0,0.308935,False,30.0
40,2334,61,2.240496347072718e-05,0.0,0.308792,False,61.0
50,661,17,7.793517627103103e-05,0.0,0.308679,False,17.0
60,2348,56,2.032389022486207e-05,0.0,0.308023,False,56.0
59,259,6,0.00017958157493041214,0.0,0.307873,False,6.0
161,1304,30,3.531256326834252e-05,0.0,0.307747,False,30.0
79,1829,42,2.5124034967871144e-05,0.0,0.307727,False,42.0
140,1842,42,2.4770562663330897e-05,0.0,0.307673,False,42.0
176,1754,38,2.4717360237963134e-05,0.0,0.307291,False,38.0
2,1995,43,2.1618740934583197e-05,0.0,0.307252,False,43.0
119,2050,43,2.047399683367258e-05,0.0,0.307057,False,43.0
179,946,19,4.2507019251205296e-05,0.0,0.306769,False,19.0
186,514,10,7.584893925258456e-05,0.0,0.306574,False,10.0
108,1850,36,2.1048631108122724e-05,0.0,0.306548,False,36.0
163,625,12,6.153846153846154e-05,0.0,0.306481,False,12.0
169,803,15,4.658341692468704e-05,0.0,0.306299,False,15.0
143,1428,26,2.5518266171219714e-05,0.0,0.30613,False,26.0
182,498,9,7.272550968461371e-05,0.0,0.306108,False,9.0
37,2070,37,1.727829495917419e-05,0.0,0.306014,False,37.0
141,516,9,6.773538044705351e-05,0.0,0.305894,False,9.0
58,408,7,8.430890783831961e-05,0.0,0.305806,False,7.0
65,969,16,3.41154295559024e-05,0.0,0.305564,False,16.0
10,2065,34,1.5954351784071925e-05,0.0,0.30554,False,34.0
134,767,12,4.0849534145104356e-05,0.0,0.305277,False,12.0
85,322,5,9.67473539598692e-05,0.0,0.305265,False,5.0
190,833,13,3.751500600240096e-05,0.0,0.305262,False,13.0
120,259,4,0.00011972104995360809,0.0,0.305248,False,4.0
133,1305,20,2.350562959828879e-05,0.0,0.305161,False,20.0
97,609,9,4.8612911589318125e-05,0.0,0.304989,False,9.0
191,1840,27,1.5958578622597348e-05,0.0,0.304938,False,27.0
49,284,4,9.953715224207435e-05,0.0,0.304782,False,4.0
124,75,1,0.00036036036036036037,0.0,0.30466,False,1.0
168,961,13,2.8182448838015954e-05,0.0,0.304559,False,13.0
39,1212,16,2.180234538730504e-05,0.0,0.304446,False,16.0
84,81,1,0.00030864197530864197,0.0,0.304302,False,1.0
80,168,2,0.00014257199885942402,0.0,0.304071,False,2.0
69,610,7,3.768607499528924e-05,0.0,0.303874,False,7.0
166,528,6,4.312575470070726e-05,0.0,0.303839,False,6.0
151,647,7,3.34958680454204e-05,0.0,0.303652,False,7.0
28,561,6,3.819709702062643e-05,0.0,0.303612,False,6.0
89,563,6,3.79259558921133e-05,0.0,0.303599,False,6.0
93,1053,11,1.9859969162884244e-05,0.0,0.303519,False,11.0
188,290,3,7.159050232669132e-05,0.0,0.303511,False,3.0
197,206,2,9.47193937958797e-05,0.0,0.303309,False,2.0
135,633,6,2.9995800587917693e-05,0.0,0.303199,False,6.0
90,430,4,4.336748522795034e-05,0.0,0.303147,False,4.0
13,769,7,2.3705028175119204e-05,0.0,0.30307,False,7.0
123,554,5,3.2641123899178096e-05,0.0,0.303048,False,5.0
41,713,6,2.363805411538522e-05,0.0,0.302839,False,6.0
130,241,2,6.915629322268326e-05,0.0,0.302823,False,2.0
162,480,4,3.479471120389701e-05,0.0,0.302817,False,4.0
82,499,4,3.219289985593677e-05,0.0,0.302709,False,4.0
